input_study,input_dataset,input_version,input_variable,output_study,output_dataset,output_version,output_variable
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi5labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi6labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi7labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi8labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi9labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi10labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi11labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi12labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi13labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi14labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgi15labnet
scp,p,2021_2,plabincnet,scp,pgen,2021_2,pgimpnet
scp,p,2021_2,pempstat,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,poccstat,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pworker,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pselfemp,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pempl,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pcivil,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pempstat1,scp,pgen,2021_2,pgstib_scp
scp,p,2021_2,pfirmsize,scp,pgen,2021_2,pgstib_scp
scp,p,2021_1,pempstat1,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_1,poccstat,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_1,pworker,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_1,pselfemp,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_1,pempl,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_1,pcivil,scp,pgen,2021_2,pgstib1_scp
scp,p,2021_2,pempstat,scp,pgen,2021_2,pgemplst_scp
scp,p,2021_2,pshorttime,scp,pgen,2021_2,pgemplst_scp
scp,p,2021_2,pminijob,scp,pgen,2021_2,pgemplst_scp
scp,p,2021_1,pedu01,scp,pgen,2021_2,pglfs_scp
scp,p,2021_1,pedu02,scp,pgen,2021_2,pglfs_scp
scp,p,2021_2,pempstat,scp,pgen,2021_2,pglfs_scp
scp,p,2021_2,ppaidwork,scp,pgen,2021_2,pglfs_scp
scp,p,2021_1,pempstat1,scp,pgen,2021_2,pglfs1_scp
scp,p,2021_1,pedu01,scp,pgen,2021_2,pglfs1_scp
scp,p,2021_1,pedu02,scp,pgen,2021_2,pglfs1_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgisco08_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmisco08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvisco08_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgisco88_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmisco88_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvisco88_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgisei08_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmisei08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvisei08_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgisei88_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmisei88_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvisei88_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgmps08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgmmps08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvmps08_scp
scp,p,2021_2,poccupation,scp,pgen,2021_2,pgsiops08_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmsiops08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvsiops08_scp
scp,p,2021_2,pmoccupation_isco08,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pmotherocc01,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pmotherocc02,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pmotherocc03,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pmotherocc04,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pmotherocc05,scp,pgen,2021_2,pgmegp08_scp
scp,p,2021_2,pfoccupation_isco08,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_2,pfatherocc01,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_2,pfatherocc02,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_2,pfatherocc03,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_2,pfatherocc04,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_2,pfatherocc05,scp,pgen,2021_2,pgvegp08_scp
scp,p,2021_1,poccupation,scp,pgen,2021_2,pgegp08_scp
scp,p,2021_1,pselfemp,scp,pgen,2021_2,pgegp08_scp
scp,p,2021_1,pempcond02,scp,pgen,2021_2,pgegp08_scp
scp,p,2021_1,poccstat,scp,pgen,2021_2,pgegp08_scp
scp,p,2021_2,pfirmsize,scp,pgen,2021_2,pgbetr_scp
scp,p,2021_2,pempstat,scp,pgen,2021_2,pgbetr_scp
scp,p,2021_2,pedu01,scp,pgen,2021_2,pgisced11_scp
scp,p,2021_2,pedu02,scp,pgen,2021_2,pgisced11_scp
scp,p,2021_2,pedu01,scp,pgen,2021_2,pgisced97_scp
scp,p,2021_2,pedu02,scp,pgen,2021_2,pgisced97_scp
scp,p,2021_2,pedu01,scp,pgen,2021_2,pgcasmin_scp
scp,p,2021_2,pedu02,scp,pgen,2021_2,pgcasmin_scp
scp,p,2021_2,pedu01,scp,pgen,2021_2,pgbilzeit_scp
scp,p,2021_2,pedu02,scp,pgen,2021_2,pgbilzeit_scp
scp,p,2021_2,interviewdatum,scp,pgen,2021_2,pgmonth
scp,p,2021_2,interviewdatum,scp,pgen,2021_2,pgpiyear
scp,p,2021_2,qmethod,scp,pgen,2021_2,pgmode
